10138,Fudge Frosting,4.51612901687622,47,51,84,NA,NA,NA
10139,Zwieback,4.25,0,1,101,NA,NA,NA
10140,Sugar Zwieback,4.90000009536743,2,10,134,NA,NA,NA
10141,Outrageous Chocolate Chip Cookies,4.69080638885498,962,1803,207,15M,10M,25M
10142,Banana Spice Cookies,4.18367338180542,5,39,116,5M,10M,15M
10143,Butter Frosting,4.25925922393799,109,174,58,NA,NA,NA
10144,No Bake Date Balls,4.65000009536743,6,16,230,NA,NA,NA
10145,Melt in your Mouth Cookies I,3.83673477172852,2,41,267,NA,NA,NA
10146,Lemon Drops,4.19999980926514,21,21,68,NA,NA,NA
10148,Carrot Cookies II,4.24242401123047,8,29,157,NA,NA,NA
10149,Melting Moments II,4.36538457870483,30,43,60,NA,NA,NA
10150,Sugar Cookies III,2.78571438789368,1,11,181,NA,NA,NA
10151,Laura Shirk's Shortbread,3.14285707473755,0,7,256,10M,50M,1H
10152,Christmas Ornament Cookies,4.63333320617676,29,23,381,NA,NA,NA
10153,Chocolate Teddy Bear Cookies,4.14285707473755,8,22,466,NA,NA,NA
10154,Chocolate Thumbprints I,4.33333349227905,1,12,307,NA,NA,NA
10155,Chocolate Macaroons II,3.66666674613953,0,3,143,NA,NA,NA
101555,Krista's Toffee Delights,4.66666650772095,25,15,312,15M,25M,8H40M
10156,Cookie Mix in a Jar II,4.22222232818604,0,8,74,NA,NA,NA
10157,Chocolate Crinkles III,4.67999982833862,11,82,133,NA,NA,NA
10158,Chocolate Cherry Biscotti,4.67407417297363,31,116,114,25M,40M,1H15M
10159,Cranberry Almond Biscotti,4.44444465637207,66,102,189,30M,50M,1H30M
10160,Almond Crescents II,3.54999995231628,2,19,98,NA,NA,NA
10161,Dump Bars,4.47435903549194,12,128,224,15M,35M,50M
10162,Macadamia Raspberry White Chocolate Cookies,3.53846144676209,1,23,205,NA,NA,NA
10163,Peppernuts,4.375,3,6,131,NA,NA,NA
10164,Anise Cookies I,4,0,5,156,NA,NA,NA
10165,Easy Creamy Icing,4.19999980926514,5,5,36,NA,NA,NA
10166,Crispy Rice Cereal Balls,4.4375,23,24,276,NA,NA,NA
10167,S'More Bars I,4.22727251052856,6,18,248,NA,NA,NA
10168,Easy Peanut Blossoms,4.4642858505249,8,49,338,NA,NA,NA
10169,Side of the Trail Cookies,4.70588254928589,0,13,288,NA,NA,NA
10170,Chocolate Nut Biscotti,4.74193525314331,7,24,NA,NA,NA,NA
10171,Chocolate Covered Cherry Cookies III,3,0,3,219,NA,NA,NA
10173,Seven Minute Frosting I,4.34848499298096,17,56,25,NA,NA,NA
10174,Surprise Meringue Kisses,4.35714292526245,7,14,87,NA,NA,NA
10176,Crescents,4.7142858505249,1,7,166,NA,NA,NA
10177,Blonde Brownies I,4.48390960693359,614,1261,477,30M,20M,50M
10178,Blonde Brownies II,4.18867921829224,30,45,453,NA,NA,NA
10179,Butterscotch Icebox Cookies,4.5,5,16,322,NA,NA,NA
10180,George's Chocolate Chip Cookies,4.33333349227905,5,22,372,NA,NA,NA
10181,Ranger Cookies I,3.96825385093689,17,55,339,NA,NA,NA
10182,Cucidati I,3,1,1,275,NA,NA,NA
10183,Moravian Ginger Cookies I,4.25,14,14,45,NA,NA,NA
10184,Kipfels,4.16666650772095,0,12,400,NA,NA,NA
10185,Moravian Spice Cookies,4.18181800842285,0,7,57,NA,NA,NA
10186,Moravian Sugar Cookies,2.66666674613953,0,3,201,NA,NA,NA
10187,Key Lime Cookies I,4.00980377197266,22,89,74,20M,10M,50M
10188,Root Beer Cookies,3.79999995231628,3,27,223,NA,NA,NA
10189,Gram's Snow Balls,4.1538462638855,10,12,92,NA,NA,NA
10190,Cream Cheese Spritz,3.80357146263123,5,47,61,15M,10M,40M
10191,Snowballs I,3.57142853736877,15,16,97,NA,NA,NA
10192,Russian Tea Cakes I,4.68468475341797,733,969,102,20M,12M,35M
10193,Russian Tea Cakes II,3.125,0,6,106,NA,NA,NA
10194,Sandtarts I,4.5,0,3,214,NA,NA,NA
